light,sound,pir
770,335,0
770,397,0
770,335,0
766,342,0
769,329,0
768,331,0
768,335,0
768,332,0
769,336,0
770,335,0
768,334,0
770,332,0
769,335,0
769,331,0
768,335,0
768,335,0
768,334,0
769,332,0
768,334,0
772,335,0
769,333,0
768,337,0
768,333,0
768,334,0
770,330,0
768,333,0
768,335,0
768,330,0
768,334,0
768,335,0
768,333,0
769,333,0
769,337,0
769,335,0
768,333,0
769,333,0
770,335,0
768,334,0
768,334,0
768,335,0
768,333,0
768,334,0
768,335,0
771,334,0
768,334,0
769,333,0
770,335,0
768,335,0
769,334,0
768,334,0
769,334,0
769,334,0
769,335,0
769,334,0
768,336,0
767,333,0
768,335,0
767,335,0
768,334,0
768,336,0
768,336,0
768,334,0
768,336,0
768,334,0
769,335,0
768,335,0
770,334,0
768,337,0
768,337,0
769,335,0
766,340,0
768,335,0
768,333,0
768,338,0
768,336,0
768,331,0
768,335,0
768,337,0
768,332,0
768,337,0
766,336,0
766,331,0
768,335,0
768,339,0
768,336,0
768,335,0
770,340,0
770,360,0
769,335,0
770,334,0
770,335,0
771,337,0
767,333,0
769,337,0
768,337,0
771,340,0
770,335,0
771,334,0
771,335,0
770,334,0
772,335,0
771,334,0
769,334,0
768,332,0
769,333,0
771,336,0
770,334,0
771,337,0
771,335,0
770,333,0
769,334,0
771,334,0
772,334,0
771,333,0
770,335,0
770,335,0
771,361,0
771,354,0
771,336,0
771,334,0
770,333,0
771,347,0
770,334,0
771,335,0
771,334,0
771,336,0
770,337,0
770,334,0
770,337,0
772,337,0
771,335,0
770,336,0
770,335,0
771,335,0
770,337,0
768,336,0
770,334,0
770,337,0
772,336,0
771,334,0
770,335,0
772,336,0
772,338,0
770,335,0
769,335,0
771,335,0
772,336,0
770,337,0
770,336,0
769,336,0
770,335,0
769,337,0
769,335,0
770,336,0
770,336,0
770,335,0
769,335,0
770,339,0
770,338,0
770,336,0
769,338,0
770,336,0
770,342,0
769,338,0
769,336,0
769,336,0
769,337,0
769,337,0
768,341,0
770,337,0
769,341,0
770,340,0
769,335,0
770,341,0
771,336,0
770,335,0
769,335,0
769,336,0
769,336,0
770,339,0
769,336,0
770,341,0
769,336,0
769,336,0
769,336,0
769,337,0
769,335,0
769,337,0
769,336,0
770,338,0
771,336,0
769,340,0
769,335,0
769,337,0
772,336,0
769,338,0
771,339,0
772,336,0
770,343,0
770,336,0
771,339,0
771,337,0
772,335,0
770,340,0
770,336,0
771,337,0
771,335,0
771,340,0
769,338,0
771,336,0
770,335,0
770,338,0
769,336,0
771,338,0
768,338,0
771,338,0
770,337,0
771,338,0
771,336,0
769,339,0
771,339,0
771,340,0
772,336,0
770,337,0
770,344,0
771,335,0
771,337,0
770,343,0
770,336,0
770,336,0
771,342,0
772,343,0
772,339,0
771,336,0
770,335,0
770,338,0
770,339,0
769,338,0
770,339,0
770,338,0
770,337,0
770,423,0
771,340,0
769,341,0
769,338,0
770,341,0
770,338,0
769,339,0
770,341,0
770,338,0
769,338,0
769,337,0
769,339,0
771,339,0
770,339,0
770,339,0
770,338,0
770,339,0
770,341,0
768,340,0
770,340,0
769,339,0
769,340,0
770,338,0
769,340,0
768,340,0
768,341,0
769,339,0
769,339,0
768,340,0
771,340,0
769,343,0
769,345,0
770,337,0
770,338,0
770,338,0
769,338,0
769,338,0
770,338,0
772,343,0
769,337,0
770,347,0
769,337,0
770,342,0
770,340,0
769,341,0
770,338,0
769,341,0
769,340,0
771,344,0
771,341,0
769,341,0
770,340,0
771,340,0
772,338,0
771,341,0
769,339,0
768,339,0
772,338,0
771,339,0
771,344,0
768,340,0
768,338,0
769,338,0
771,341,0
770,340,0
772,342,0
770,341,0
770,339,0
771,339,0
770,339,0
771,339,0
770,341,0
771,340,0
770,340,0
770,339,0
770,340,0
771,340,0
772,339,0
771,341,0
771,340,0
771,340,0
772,340,0
770,339,0
769,339,0
769,342,0
770,342,0
769,340,0
769,340,0
770,339,0
770,340,0
769,343,0
769,340,0
770,339,0
770,343,0
769,342,0
770,343,0
770,342,0
770,341,0
769,341,0
770,342,0
770,341,0
769,342,0
770,341,0
770,343,0
769,341,0
768,341,0
769,340,0
770,342,0
770,341,0
769,341,0
770,344,0
770,344,0
771,341,0
768,342,0
771,340,0
769,342,0
769,343,0
769,346,0
771,341,0
ENTRY!
769,361,0
768,340,0
769,340,0
769,358,0
771,342,0
771,341,0
771,340,0
769,339,0
769,339,0
770,341,0
771,340,0
770,341,0
771,342,0
771,345,0
769,346,0
770,343,0
770,341,0
770,349,0
770,341,0
772,341,0
770,794,0
770,1023,0
770,1023,0
769,330,0
771,330,0
772,408,0
771,1023,0
771,330,0
770,1023,0
771,328,0
770,873,0
770,327,0
771,425,0
770,328,0
771,329,0
770,327,0
769,327,0
771,429,0
771,327,0
770,332,0
772,327,0
770,328,0
770,330,0
770,327,0
771,333,0
770,326,0
771,388,0
770,327,0
771,330,0
770,327,0
770,334,0
770,328,0
771,328,0
772,331,0
769,470,0
770,328,0
769,329,0
769,342,0
770,327,0
770,329,0
769,329,0
769,353,0
770,330,0
770,328,0
770,327,0
769,335,0
769,331,0
770,329,0
771,385,0
770,328,0
768,397,0
770,330,0
769,392,0
768,327,0
769,963,0
769,459,1
770,402,1
769,336,1
770,330,1
768,330,1
770,336,1
769,329,1
770,477,1
769,329,1
770,341,1
771,328,1
770,329,1
769,422,1
768,327,1
770,574,1
769,329,1
770,446,1
770,327,1
769,331,1
769,329,1
769,329,1
771,333,1
771,329,1
771,415,1
769,328,1
771,329,1
770,328,1
772,330,1
771,331,1
770,329,1
770,334,1
771,329,1
771,328,1
771,328,1
771,336,1
771,333,1
771,331,1
771,328,1
769,331,1
769,330,1
770,332,1
768,329,1
772,332,1
770,329,1
771,329,1
771,330,1
771,332,1
770,334,1
770,330,1
770,330,1
771,330,1
771,329,1
771,329,1
770,330,1
770,328,1
771,332,1
770,347,1
770,329,1
770,332,1
770,330,1
771,329,1
769,331,1
770,330,1
770,331,1
771,328,1
770,330,1
769,330,1
769,330,1
770,331,1
