light,sound,pir
770,330,0
768,332,0
768,332,0
769,333,0
769,330,0
768,336,0
768,330,0
769,349,0
768,332,0
770,334,0
770,331,0
768,335,0
768,331,0
768,331,0
769,333,0
768,334,0
768,331,0
769,333,0
769,331,0
768,334,0
769,331,0
768,333,0
768,329,0
768,330,0
769,330,0
768,335,0
768,337,0
770,338,0
768,332,0
768,333,0
768,333,0
770,333,0
768,332,0
768,332,0
768,333,0
768,332,0
768,333,0
768,330,0
768,334,0
768,329,0
768,333,0
768,333,0
768,333,0
768,334,0
768,332,0
772,339,0
768,332,0
771,331,0
768,335,0
768,332,0
769,332,0
768,332,0
768,331,0
765,336,0
768,333,0
770,332,0
768,335,0
764,335,0
768,337,0
769,332,0
768,332,0
769,333,0
769,331,0
768,333,0
768,331,0
768,331,0
768,332,0
768,336,0
768,332,0
769,334,0
768,335,0
769,333,0
768,335,0
766,332,0
771,333,0
768,332,0
768,333,0
769,334,0
769,334,0
768,334,0
769,333,0
768,334,0
768,332,0
768,334,0
768,335,0
768,333,0
770,335,0
770,357,0
770,333,0
770,331,0
770,337,0
772,331,0
770,335,0
771,333,0
770,333,0
769,334,0
770,333,0
770,332,0
770,331,0
770,331,0
769,331,0
770,334,0
769,331,0
769,336,0
769,333,0
770,334,0
769,334,0
771,334,0
770,333,0
769,332,0
770,333,0
770,333,0
770,333,0
770,333,0
770,334,0
770,333,0
770,335,0
770,333,0
770,334,0
770,340,0
770,334,0
770,334,0
769,333,0
769,335,0
770,333,0
769,333,0
770,333,0
769,338,0
770,336,0
770,334,0
770,335,0
770,333,0
770,336,0
769,334,0
769,334,0
769,411,0
771,337,0
769,337,0
770,359,0
770,333,0
771,332,0
769,331,0
768,337,0
771,334,0
771,332,0
770,339,0
771,339,0
770,334,0
771,337,0
770,333,0
772,339,0
770,339,0
770,335,0
769,337,0
769,336,0
771,334,0
769,335,0
768,336,0
770,332,0
770,333,0
771,333,0
771,340,0
770,338,0
771,336,0
769,337,0
770,333,0
771,334,0
771,334,0
771,336,0
770,336,0
770,336,0
770,337,0
770,361,0
770,332,0
771,333,0
770,338,0
770,336,0
772,348,0
771,340,0
771,333,0
770,338,0
771,336,0
770,334,0
772,336,0
771,336,0
770,335,0
770,334,0
770,336,0
771,335,0
768,337,0
769,335,0
768,337,0
768,335,0
768,336,0
768,338,0
768,335,0
768,338,0
768,338,0
768,339,0
768,336,0
768,334,0
768,338,0
768,338,0
768,335,0
768,337,0
769,338,0
768,337,0
769,338,0
768,338,0
768,337,0
768,337,0
766,338,0
768,338,0
769,338,0
768,338,0
768,338,0
768,336,0
768,339,0
768,337,0
768,340,0
768,338,0
768,338,0
766,337,0
768,338,0
768,344,0
768,339,0
769,336,0
768,335,0
768,343,0
768,340,0
768,339,0
769,336,0
769,335,0
768,340,0
770,338,0
768,341,0
769,338,0
768,335,0
770,337,0
768,337,0
768,339,0
769,338,0
769,338,0
768,338,0
769,337,0
768,343,0
768,337,0
768,341,0
768,338,0
769,339,0
768,339,0
764,340,0
768,338,0
768,337,0
768,343,0
768,339,0
769,339,0
768,338,0
768,341,0
770,339,0
769,337,0
769,339,0
769,338,0
768,341,0
769,339,0
768,339,0
768,338,0
768,342,0
768,339,0
768,339,0
768,339,0
770,339,0
768,339,0
768,339,0
768,338,0
768,336,0
768,339,0
770,339,0
769,339,0
769,338,0
770,338,0
768,337,0
770,337,0
769,338,0
770,340,0
769,342,0
770,338,0
769,339,0
770,339,0
769,338,0
769,339,0
769,338,0
769,338,0
769,339,0
769,338,0
770,338,0
770,338,0
770,339,0
770,339,0
770,338,0
769,339,0
770,338,0
769,344,0
769,339,0
771,338,0
769,338,0
770,339,0
768,344,0
770,339,0
770,341,0
770,338,0
770,342,0
770,339,0
770,370,0
769,338,0
769,341,0
771,338,0
770,341,0
769,342,0
771,337,0
768,339,0
771,341,0
769,344,0
770,343,0
768,340,0
770,343,0
772,339,0
770,338,0
770,339,0
771,341,0
770,338,0
770,337,0
770,340,0
771,340,0
770,337,0
770,341,0
770,338,0
769,338,0
770,341,0
771,338,0
770,338,0
770,341,0
770,338,0
770,342,0
771,339,0
770,338,0
772,343,0
772,342,0
771,340,0
770,343,0
770,341,0
771,339,0
770,342,0
771,342,0
772,337,0
771,342,0
770,339,0
771,339,0
771,341,0
772,342,0
ENTRY!
771,338,0
771,338,0
770,342,0
770,340,0
771,340,0
770,344,0
769,339,0
770,339,0
769,340,0
768,339,0
769,340,0
770,342,0
772,344,0
772,340,0
769,347,0
770,341,0
770,1023,0
770,335,0
768,334,0
769,335,0
768,431,0
770,335,0
770,459,0
769,335,0
769,339,0
769,346,0
770,337,0
768,335,0
770,342,0
771,335,0
770,356,0
770,334,0
771,466,0
770,336,0
770,600,0
770,335,0
769,575,0
770,334,0
769,401,0
770,335,0
770,336,0
769,336,0
769,339,0
770,340,0
771,335,0
771,334,0
769,333,0
769,338,0
768,334,0
770,335,0
768,336,0
769,337,0
769,335,0
770,336,0
769,334,0
769,399,0
768,351,0
769,333,0
769,341,0
771,336,0
770,342,0
770,334,0
769,337,0
768,338,0
770,335,0
770,335,0
771,337,0
769,335,0
768,335,0
769,338,0
769,335,0
772,339,0
768,337,0
770,335,0
770,335,0
770,334,0
770,335,0
770,335,0
769,336,0
771,335,0
770,337,0
770,339,0
771,338,0
770,343,0
770,335,0
770,336,0
772,334,0
770,339,1
772,338,1
770,334,1
772,334,1
770,339,1
770,336,1
771,335,1
770,338,1
770,335,1
769,337,1
770,337,1
770,336,1
770,338,1
770,336,1
770,338,1
770,337,1
769,337,1
770,336,1
772,335,1
769,335,1
770,339,1
769,337,1
770,336,1
770,394,1
770,389,1
770,336,1
772,337,1
772,336,1
770,338,1
770,341,1
770,342,1
769,335,1
769,336,1
770,337,1
770,342,1
769,338,1
770,338,1
769,341,1
770,344,1
768,342,1
769,337,1
770,337,1
770,339,1
