light,sound,pir
770,336,0
768,341,0
768,337,0
769,338,0
769,338,0
768,337,0
768,338,0
768,337,0
769,339,0
768,336,0
769,337,0
769,337,0
771,337,0
768,338,0
768,337,0
769,338,0
769,339,0
768,338,0
768,338,0
768,339,0
768,338,0
769,335,0
768,335,0
768,338,0
769,337,0
768,338,0
768,338,0
768,334,0
769,338,0
768,338,0
768,335,0
768,338,0
768,338,0
769,338,0
769,338,0
769,338,0
769,339,0
769,339,0
768,337,0
769,341,0
768,338,0
770,338,0
768,338,0
769,339,0
768,340,0
769,337,0
768,337,0
769,339,0
767,342,0
768,337,0
768,337,0
769,340,0
768,338,0
768,337,0
768,338,0
768,340,0
768,339,0
766,338,0
769,335,0
768,339,0
769,338,0
768,340,0
769,339,0
769,339,0
769,337,0
769,338,0
770,336,0
770,338,0
769,338,0
768,341,0
769,337,0
769,336,0
768,338,0
770,339,0
768,336,0
769,338,0
768,338,0
770,338,0
769,339,0
770,337,0
768,341,0
768,339,0
769,338,0
769,338,0
768,343,0
768,338,0
769,336,0
769,338,0
771,336,0
770,337,0
770,337,0
770,337,0
770,338,0
769,342,0
771,340,0
772,338,0
771,337,0
772,339,0
770,339,0
770,337,0
770,337,0
772,337,0
771,336,0
771,339,0
771,339,0
771,337,0
770,364,0
771,339,0
770,337,0
772,339,0
770,337,0
770,338,0
770,338,0
769,339,0
769,338,0
770,339,0
771,339,0
771,338,0
770,379,0
772,341,0
769,339,0
770,339,0
770,340,0
769,342,0
770,339,0
771,338,0
770,339,0
771,339,0
769,339,0
770,339,0
770,341,0
770,339,0
769,339,0
768,340,0
769,339,0
769,339,0
769,338,0
770,338,0
770,340,0
772,339,0
770,339,0
770,340,0
770,340,0
770,341,0
770,339,0
769,340,0
769,342,0
769,338,0
770,339,0
771,344,0
770,347,0
772,337,0
771,338,0
770,337,0
769,339,0
772,339,0
771,339,0
769,344,0
772,342,0
771,339,0
771,339,0
770,339,0
771,341,0
770,337,0
770,338,0
772,339,0
771,339,0
770,341,0
769,342,0
770,343,0
771,340,0
770,339,0
771,345,0
772,341,0
771,339,0
770,342,0
772,340,0
770,341,0
772,340,0
769,341,0
771,339,0
770,339,0
770,340,0
772,339,0
770,339,0
770,344,0
772,339,0
771,339,0
771,340,0
770,339,0
770,342,0
770,342,0
770,344,0
770,340,0
770,339,0
771,346,0
771,339,0
769,339,0
770,340,0
769,340,0
768,340,0
769,341,0
770,341,0
770,340,0
770,341,0
769,342,0
770,340,0
770,345,0
769,348,0
770,340,0
770,347,0
770,345,0
769,341,0
770,343,0
771,345,0
770,341,0
770,342,0
770,341,0
770,341,0
770,342,0
770,341,0
769,346,0
771,345,0
771,340,0
770,411,0
769,341,0
770,342,0
769,346,0
771,341,0
770,341,0
770,343,0
772,341,0
770,342,0
770,342,0
769,342,0
770,342,0
769,393,0
770,343,0
769,340,0
770,342,0
770,343,0
772,342,0
769,343,0
770,345,0
769,341,0
770,343,0
771,341,0
769,340,0
771,345,0
771,342,0
770,340,0
769,341,0
771,342,0
772,342,0
771,341,0
772,346,0
770,342,0
770,356,0
771,343,0
769,347,0
770,346,0
771,341,0
771,342,0
769,341,0
770,342,0
770,341,0
770,340,0
770,341,0
770,345,0
772,350,0
768,341,0
771,344,0
769,342,0
770,342,0
771,344,0
770,343,0
771,342,0
770,341,0
771,342,0
771,341,0
771,341,0
769,343,0
771,353,0
770,342,0
771,342,0
771,341,0
771,344,0
771,342,0
772,343,0
770,342,0
768,344,0
769,349,0
771,342,0
770,345,0
770,344,0
770,345,0
769,342,0
769,343,0
770,342,0
770,344,0
770,346,0
770,347,0
769,345,0
769,343,0
770,343,0
770,345,0
769,343,0
770,345,0
768,344,0
769,344,0
770,343,0
769,345,0
769,349,0
771,344,0
770,343,0
770,344,0
770,344,0
770,343,0
769,346,0
772,344,0
769,347,0
770,345,0
772,346,0
770,344,0
770,347,0
770,351,0
771,344,0
771,345,0
770,344,0
770,342,0
770,343,0
770,347,0
770,343,0
768,344,0
769,348,0
771,348,0
771,345,0
771,347,0
771,343,0
771,343,0
770,343,0
771,345,0
770,350,0
769,348,0
770,343,0
770,346,0
771,344,0
770,344,0
770,344,0
770,344,0
770,344,0
772,343,0
771,343,0
772,354,0
769,344,0
770,343,0
769,343,0
771,343,0
771,344,0
771,344,0
ENTRY!
771,346,0
769,346,0
771,361,0
771,346,0
771,344,0
771,345,0
770,345,0
772,503,0
771,1023,0
772,1023,0
770,329,0
771,331,0
770,691,0
771,353,0
770,391,0
771,1023,0
772,607,0
770,329,0
770,576,0
770,334,0
770,329,0
770,524,0
769,328,0
770,889,0
769,329,0
770,797,0
771,327,0
769,735,0
769,327,1
770,407,1
772,327,1
769,328,1
772,333,1
772,328,1
770,331,1
769,329,1
770,330,1
770,328,1
770,330,1
769,332,1
770,327,1
770,331,1
770,328,1
770,358,1
770,328,1
770,335,1
771,327,1
771,364,1
770,335,1
769,330,1
770,328,1
771,330,1
770,330,1
770,333,1
771,334,1
770,449,1
771,327,1
769,329,1
770,334,1
770,328,1
771,329,1
771,330,1
770,362,1
769,333,1
772,329,1
771,329,1
770,332,1
769,718,1
771,329,1
771,343,1
771,330,1
771,382,1
771,329,1
770,333,1
770,329,1
772,368,1
771,335,1
771,332,1
772,329,1
771,327,1
770,390,1
770,328,1
772,333,1
770,329,1
769,329,1
770,329,1
769,329,1
772,342,1
770,329,1
772,335,1
772,330,1
771,374,1
770,329,1
772,329,1
772,338,1
771,329,1
771,329,1
770,329,1
770,351,1
772,329,1
770,328,1
769,356,1
771,331,1
771,329,1
770,331,1
770,330,1
770,329,1
772,330,1
770,330,1
770,332,1
770,333,1
770,333,1
769,332,1
770,332,1
770,330,1
771,330,1
770,331,1
770,331,1
768,334,1
771,330,1
769,335,1
771,330,1
771,332,1
769,331,1
770,334,1
770,330,1
770,331,1
771,336,1
770,419,1
770,332,1
769,335,1
770,333,1
770,331,1
770,338,1
770,330,1
770,332,1
770,332,1
770,331,1
769,333,1
770,331,1
769,333,1
769,332,1
