light,sound,pir
769,335,0
768,335,0
769,334,0
768,335,0
768,335,0
770,332,0
768,335,0
769,334,0
768,335,0
768,336,0
768,335,0
768,337,0
769,338,0
769,335,0
768,335,0
771,337,0
769,338,0
768,336,0
768,335,0
769,335,0
768,337,0
769,337,0
768,332,0
769,334,0
768,333,0
768,338,0
770,334,0
768,332,0
768,336,0
769,335,0
770,335,0
768,339,0
768,337,0
768,335,0
769,335,0
768,335,0
770,332,0
769,335,0
768,336,0
769,334,0
768,335,0
770,334,0
769,337,0
768,335,0
768,335,0
768,335,0
770,336,0
769,335,0
768,335,0
769,335,0
770,334,0
772,338,0
768,335,0
769,335,0
769,334,0
768,335,0
768,337,0
769,339,0
769,335,0
769,336,0
769,336,0
768,335,0
768,337,0
769,339,0
770,338,0
769,333,0
769,335,0
770,335,0
768,335,0
770,337,0
768,337,0
770,334,0
769,337,0
770,337,0
770,335,0
770,335,0
770,338,0
770,337,0
770,337,0
769,336,0
769,336,0
770,335,0
770,337,0
770,337,0
771,336,0
771,336,0
769,336,0
769,337,0
770,336,0
772,340,0
768,335,0
769,336,0
770,335,0
770,336,0
771,335,0
770,335,0
772,335,0
770,336,0
771,340,0
770,338,0
769,340,0
770,336,0
769,336,0
769,340,0
770,335,0
771,336,0
770,341,0
771,342,0
769,337,0
771,336,0
770,334,0
769,335,0
771,339,0
771,335,0
770,381,0
770,337,0
771,333,0
771,336,0
772,337,0
772,336,0
771,336,0
772,336,0
771,335,0
772,342,0
769,336,0
769,336,0
770,335,0
770,339,0
770,337,0
769,336,0
770,335,0
771,335,0
771,339,0
769,338,0
770,336,0
771,336,0
771,336,0
771,337,0
771,338,0
770,338,0
771,339,0
770,339,0
772,337,0
771,339,0
771,343,0
772,335,0
772,336,0
771,338,0
770,339,0
771,336,0
770,335,0
770,340,0
772,340,0
770,343,0
771,337,0
771,335,0
771,338,0
771,337,0
769,336,0
770,337,0
770,338,0
769,336,0
769,342,0
769,338,0
770,337,0
771,337,0
770,338,0
769,337,0
769,338,0
770,341,0
770,338,0
770,338,0
770,337,0
769,338,0
772,337,0
769,338,0
771,338,0
770,340,0
771,341,0
770,338,0
770,341,0
769,338,0
770,338,0
772,338,0
768,338,0
770,338,0
770,338,0
771,342,0
770,340,0
770,338,0
770,338,0
770,340,0
769,339,0
769,341,0
768,341,0
770,343,0
772,337,0
769,341,0
771,343,0
771,337,0
769,341,0
769,341,0
769,339,0
771,337,0
771,338,0
772,337,0
771,339,0
770,337,0
771,340,0
771,338,0
770,342,0
771,343,0
771,337,0
771,338,0
771,344,0
772,345,0
770,340,0
770,339,0
772,342,0
770,339,0
769,340,0
769,338,0
771,343,0
770,338,0
771,341,0
771,340,0
770,341,0
772,338,0
771,338,0
771,340,0
771,341,0
770,341,0
771,342,0
770,340,0
769,339,0
772,341,0
771,338,0
771,340,0
772,339,0
772,342,0
772,342,0
771,341,0
771,340,0
772,340,0
772,346,0
771,339,0
770,339,0
772,338,0
770,338,0
771,342,0
770,341,0
771,340,0
771,341,0
772,341,0
770,342,0
770,341,0
770,341,0
770,339,0
770,342,0
770,340,0
770,341,0
771,340,0
772,340,0
770,342,0
771,343,0
770,340,0
769,340,0
769,342,0
770,339,0
770,343,0
770,341,0
769,342,0
771,342,0
769,342,0
770,342,0
770,342,0
770,344,0
771,340,0
770,344,0
771,339,0
770,342,0
771,342,0
769,343,0
772,340,0
771,346,0
770,346,0
769,340,0
769,340,0
770,348,0
770,344,0
770,341,0
771,340,0
770,345,0
770,339,0
772,339,0
769,345,0
772,339,0
769,340,0
771,341,0
770,344,0
772,341,0
771,340,0
770,341,0
770,341,0
771,341,0
771,342,0
769,342,0
770,340,0
770,340,0
772,341,0
771,340,0
771,342,0
771,341,0
770,341,0
771,343,0
771,344,0
769,340,0
770,342,0
771,344,0
